sample_length_mm,scanning_time_sec,stitching_time_sec
142.2,451.57,37.16
232.2,585.84,70.43
106.5,374.63,27.74
124.5,414.19,36.08
118.5,464.75,44.22
99.0,370.79,35.9
487.2,966.83,249.16
432.6,865.39,205.92
183.0,550.97,62.5
126.0,545.46,36.6
121.5,607.85,57.43
472.5,1020.65,141.49
315.0,807.64,107.42
445.2,790.93,125.68
411.6,599.16,180.34
472.5,883.46,129.52
384.3,891.82,128.97
371.7,766.09,132.34
420.0,811.41,103.94
449.4,922.48,141.77
235.8,576.89,103.43
273.6,662.01,79.48
171.0,537.77,58.8
285.6,707.18,68.87
325.5,818.19,81.5
361.2,619.55,121.48
308.7,666.36,121.34
434.7,877.1,145.31
497.7,1130.96,134.96
289.8,682.74,63.54
308.7,801.18,73.41
198.0,685.85,66.37
193.5,620.14,64.99
384.3,758.65,153.71
474.6,847.47,282.92
203.4,625.32,56.75
187.2,581.24,65.97
174.3,397.71,64.39
367.5,562.21,157.97
357.0,761.42,76.77
373.8,652.05,81.97
108.0,490.53,39.45
165.6,582.76,73.78
428.4,864.24,148.78
447.3,1057.62,115.84
283.5,787.18,102.03
348.6,713.05,135.73
352.8,796.77,93.41
190.8,535.61,81.9
300.3,699.32,129.35
300.3,730.69,109.29
525.0,1299.34,168.26
516.6,1325.87,128.88
279.3,738.21,151.31
279.3,782.07,67.65
438.9,962.9,166.73
417.9,963.89,172.09
510.3,1014.13,118.12
539.7,905.82,296.72
864.0,980.73,154.56
837.6,1053.41,159.99
121.5,432.97,42.68
127.5,468.71,47.98
93.0,470.8,30.49
108.0,510.74,36.32
344.4,715.98,86.28
346.5,776.2,79.75
142.5,537.25,48.64
344.4,692.43,75.31
338.1,735.83,116.32
270.9,714.6,81.16
371.7,773.3,166.79
340.2,713.47,133.26
478.8,1097.02,196.93
420.0,907.48,123.13
1377.0,1588.68,228.91
428.4,1031.56,206.5
197.4,416.26,56.51
214.2,524.17,79.55
365.4,815.79,126.37
474.6,1045.93,194.42
394.8,847.02,170.18
459.9,930.64,196.01
302.4,613.64,122.03
407.4,718.41,143.01
388.5,743.8,167.5
470.4,815.58,243.6
451.5,788.31,164.9
495.6,1266.95,104.59
342.3,729.6,143.04
357.0,792.63,197.77
443.1,948.54,140.94
506.1,956.15,198.18
168.0,509.32,57.94
130.5,485.08,38.6
139.5,469.57,71.93
132.0,587.18,64.03
202.5,729.12,64.78
226.5,716.39,72.29
535.5,1022.54,199.69
518.7,915.88,135.5
130.5,403.51,64.1
124.5,413.87,49.27
153.0,669.72,53.1
150.0,585.12,46.89
449.4,772.48,166.99
485.1,826.71,295.23
592.8,823.93,134.04
607.2,966.8,128.5
547.2,835.99,157.25
544.8,867.93,156.48
130.5,505.13,46.43
106.5,343.26,31.53
588.0,934.59,114.79
573.6,795.85,123.81
1136.7,1187.14,282.23
1152.9,1234.25,207.56
105.0,441.19,66.42
103.5,375.95,33.03
1360.8,1386.58,319.26
243.0,696.29,83.8
243.0,717.56,128.12
234.0,801.69,75.17
91.5,370.06,31.54
130.5,458.28,44.98
168.0,612.91,58.64
186.0,653.54,59.59
510.3,1018.29,112.9
520.8,917.08,154.4
982.8,1120.89,344.46
982.8,1255.18,310.07
163.5,477.7,54.06
154.5,473.78,47.79
569.1,1171.73,159.72
527.1,1113.63,215.33
162.0,567.92,58.27
178.5,605.25,60.23
453.6,888.82,168.33
531.3,1182.44,203.91
237.0,691.29,84.92
165.0,523.34,56.51
1941.3,2791.16,378.6
2022.3,2250.31,340.04
352.8,708.5,91.98
154.5,483.63,58.23
238.5,592.34,73.51
237.0,792.21,78.03
181.5,621.48,62.54
192.0,735.36,58.66
232.5,784.86,67.37
234.0,782.18,75.0
1568.7,1687.59,296.54
1609.2,1732.9,273.97
1979.1,2107.97,378.37
2003.4,2071.7,493.29
87.0,317.15,35.63
78.0,339.32,28.58
126.0,433.6,40.58
102.0,411.02,38.17
223.2,658.42,65.81
512.4,1011.42,244.19
229.5,823.3,115.98
554.4,1248.57,273.5
470.4,919.34,279.52
539.7,1168.02,169.21
529.2,1016.29,173.93
141.0,569.94,46.48
127.5,535.0,37.66
